Time,epoch,optimize,reward,score,epsilon
"2022-01-06 00:30:00,337",419,11677,0.4,51,0.093612
"2022-01-06 00:30:06,232",420,11701,0.2,42,0.093599
"2022-01-06 00:30:11,326",421,11723,0.1,42,0.093587
"2022-01-06 00:30:16,766",422,11748,0.2,42,0.093574
"2022-01-06 00:30:22,175",423,11772,0.2,43,0.093561
"2022-01-06 00:30:27,650",424,11796,0.2,42,0.093548
"2022-01-06 00:30:40,104",425,11853,1.8,106,0.093519
"2022-01-06 00:30:45,551",426,11877,0.2,42,0.093506
"2022-01-06 00:30:50,710",427,11899,0.1,42,0.093495
"2022-01-06 00:30:58,137",428,11931,0.6,61,0.093478
"2022-01-06 00:31:03,880",429,11957,0.3,48,0.093464
"2022-01-06 00:31:10,257",430,11983,0.3,53,0.09345
"2022-01-06 00:31:16,929",431,12011,0.4,55,0.093435
"2022-01-06 00:31:22,340",432,12036,0.2,43,0.093422
"2022-01-06 00:31:27,696",433,12056,0,42,0.093411
"2022-01-06 00:31:35,820",434,12089,0.6,66,0.093394
"2022-01-06 00:31:41,026",435,12111,0.1,42,0.093382
"2022-01-06 00:31:46,568",436,12135,0.2,43,0.093369
